Recipe;Allergens;May Contains;Ingredients
Additional bread;Cereals containing Gluten, Soya, Wheat;Eggs, Milk;"Bread Mix Hovis Best Of Both Flour, (with added Calcium, Iron, Niacin, Thiamin), Wholemeal Flour, Dried Yeast, WHEAT Protein, WHEATGERM (2.0%), Dextrose, WHEAT Fibre, Vegetable Oils (Palm, Rapeseed), Salt, SOYA Flour, Calcium Carbonate, WHEAT Flour, Emulsifiers: E472e, E491; Flour Treatment Agents: E300, Alpha Amylase, Amyloglucosidase, Glucose Oxidase, Hemicellulase.], Water"
Baked beans;;;Low Sugar Baked Beans [Beans (47%), Tomatoes (38%), Water, Modified Cornflour, Spirit Vinegar, Salt, Natural Flavouring, Spice Extracts, Sweetener - Steviol Glycosides, Herb Extract]
Baton carrots;;Celery;Baton Carrots [Carrot]
Battered Pollock;Fish;;Battered Pollock [MSC Pollock (<strong>FISH</strong>) (60%), Water, Rice Flour, Rapeseed Oil, Maize Flour, Maize Starch, Potato Starch, Gram Flour, Tapioca Starch, Raising Agent (Disodium Diphosphate, Sodium Bicarbonate), Salt, Stabiliser (Xanthan Gum), Dextrose, Vegetable Fibre.]
BBQ Chicken Meatballs;Barley, Cereals containing Gluten;;Chicken meatballs [Chicken, Chicken Skin, Sweetcorn, Water, Pea Flour, Potato Starch, Sea Salt, Onion Powder, Garlic Powder, Cracked Black Pepper, Ground Pimento.], Base recipe BBQ sauce [Chopped Tomatoes [Tomatoes, Tomato Juice, Acidity Regulator: Citric Acid (E330)], Onion - white whole, Sarsons Vinegar [<strong>BARLEY</strong> Malt Vinegar, <strong>BARLEY</strong> Malt Extract.], Demerara Sugar [Cane Sugar], Tomato Puree [tomatoes], EvFav Extended Life Vegetable Oil [Refined rapeseed oil, anti-foamingagent dimethylpolysiloxane.], Garlic Puree [Water, Garlic (18%), Salt, Sugar, Maltodextrin, Palm Oil, Vinegar, Citrus Fibres, Flavourings, Thickener (Xanthan Gum).]]
Broccoli;;;Broccoli Florets [Broccoli]
Broccoli, cauliflower and carrot medley;;;Farmhouse Style, Broccoli, Cauliflower and Carrot  [Broccoli (34%),Cauliflower (33%), Carrot (33%).]
Bubble Salmon;Fish;;"Bubble Salmon (Red house) [Salmon (<strong>FISH</strong>) (65%), Water, Maize Flour, Sunflower Oil, Rice Flour, Maize Starch, Potato Starch, Onion Powder, Salt, Garlic Puree, Raising Agents: Diphosphates and Sodium Carbonates; Natural Colour: Caramel; Stabiliser: Xanthan Gum; Ground Black Pepper, Dextrose.]"
Cabbage;;;Cabbage - savoy by weight
Carrot;;;Carrots (not prepped)
Carrot & Broccoli;;Celery;Baton Carrots [Carrot], Broccoli
Carrot Sticks;;;Carrots (not prepped)
Carrots & Peas;;Celery;Baton Carrots [Carrot], Garden Peas [Peas]
Cauliflower;;;Cauliflower Florets [Cauliflower Florets]
Cheese portion (laughing cow);Milk;;Laughing Cow Cheese Spread [Skimmed MILK (water, skimmed MILK powder), CHEESES, MILK protein, emulsifying salts: polyphosphates, triphosphates, citric acid, butter, flavouring..]
Chicken fillet;;;Chicken fillet [Chicken Breast.]
Chicken Grill;;;Chicken Grill [Chicken Breast (66%), Batter [water, maize flour, maize starch, potato starch, salt, disodium diphosphates, sodium bicarbonate, xanthan gum], Crumb [rice flour, gram flour, maize starch, salt, dextrose], Sunflower Oil]
Chicken nuggets;;;"Chicken and Cauliflower Nuggets [British Chicken Breast (49%), Cauliflower (20%), Water, Sunflower Oil, Rice Flour, Maize Flour, Gram Flour, Maize Starch, Potato Starch, Salt, Raising Agents: Diphosphates and Sodium Carbonates; Onion Powder, Dextrose, Garlic Puree, Stabiliser: Xanthan Gum.]"
Chips;;;Par Fried Chips
Chocolate Angel Delight;Milk;;Water, Angel Delight Chocolate [Sugar, Modified Starch, Skimmed MILK Powder, Palm Oil, Fat Reduced Cocoa Powder, Gelling Agents (Diphosphates, Sodium Phosphates), Emulsifiers (Propylene Glycol Esters of Fatty Acids, Lecithins), Lactose (MILK),MILK Proteins, Calcium Carbonate, Whey Powder MILK), Anti-caking Agent (Silicon Dioxide), Flavouring..]
Coconut rice;;;"Tilda Brown N White Rice [Easy Cook Wholegrain and Easy Cook Long Grain Rice], Coconut Milk [Coconut Extract (70%), Water, Stabilisers: Guar Gum, Carboxymethyl Cellulose; Emulsifier: Polysorbate 60.], Red Kidney Beans [red kidney beans, water]"
Coleslaw;Eggs;;Cabbage White [Cabbage - White], Everyday Favourites Light Mayonnaise [Water, Rapeseed Oil, Modified Maize Starch, Spirit Vinegar, Free Range Pasteurised <strong>EGG</strong> Yolk (2.3%), Sugar, Salt, Lemon Juice from Concentrate, Stabilisers (Guar Gum, Xanthan Gum, Pectin), <strong>EGG</strong> White Powder, Citrus Fibre, Preservative (Potassium Sorbate)], Carrot - fine grated, Onions - diced
Cream Crackers;Cereals containing Gluten, Wheat;;Jacobs Cream Crackers [Flour (WHEAT Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oil (Palm), Salt, Raising Agent (Sodium Bicarbonate), Yeast..]
Crinkle cut potato wedges;;;McCain Crispers [Potatoes (90%), Batter (Modified Starch, Rice Flour, Dextrin, Pea Fibre, Turmeric Extract, Stabiliser (Xanthan Gum), Colour (Paprika Extract), Pea Protein), Sunflower Oil (4%), Salt]
Cucumber;;;Cucumber [Cucumber]
Custard;Milk;;Water, Custard Birds Reduced Sugar  [Whey Powder (from MILK), Modified Maize Starch, Maltodextrin, Sugar, Palm Oil, Palm Fat, MILK Proteins, Anti-caking Agent (Silicon Dioxide), Flavourings, Colour (Annatto Norbixin).]
Diced potatoes;;;Glentham Farm Potatoes Peeled, EvFav Extended Life Vegetable Oil [Refined rapeseed oil, anti-foamingagent dimethylpolysiloxane.], Mixed Herbs [Marjoram, Thyme, Parsley, Basil, Savory.]
Fish Fingers;;;
Flat bread;Cereals containing Gluten, Soya, Wheat;Eggs, Milk;"Bread Mix Hovis Best Of Both [<strong>WHEAT</strong> Flour, (with added Calcium, Iron, Niacin, Thiamin), Wholemeal Flour (<strong>WHEAT</strong>), Dried Yeast, <strong>WHEAT</strong> Protein, WHEATGERM (2.0%), Dextrose, <strong>WHEAT</strong> Fibre, Vegetable Oils (Palm, Rapeseed), Salt, <strong>SOYA</strong> Flour, Calcium Carbonate, <strong>WHEAT</strong> Flour, Emulsifiers: E472e, E491; Flour Treatment Agents: E300, Alpha Amylase, Amyloglucosidase, Glucose Oxidase, Hemicellulase.], Water, EvFav Extended Life Vegetable Oil [Refined rapeseed oil, anti-foamingagent dimethylpolysiloxane.], garlic clove by clove"
Fresh fruit;;;Apples Green
Fresh fruit;;;Apples Green, Apples Red, Grapes Green, Bananas
Fresh fruit salad;;;Oranges, Apples, Honeydew Melon [Melon - Honeydew], Grapes Black, Pineapple Slice in Juice [Pineapple, Pineapple juice, acidity regulator: citric acid]
Fruit smoothie;;;Strawberry Fruit Ice Smoothie [Water, Strawberry Puree (30%), Invert Sugar Syrup, Emulsifier: (Mono- and Di-Glycerides of Fatty Acids ), Stabilisers: ( Locust Bean Gum, Carboxymethyl Cellulose, Guar Gum), Flavouring.]
Fruity Caribbean chicken;;;Fruity Caribbean Chicken [Chicken, Water, Sugar, Modified Maize Starch, Dried Glucose Syrup, Sea Salt, Mango Powder, Dehydrated Peppers, Tomato Powder, Spice, Red Bell Pepper Powder, Passion Fruit, Xantham Gum E415, Garlic Powder, herb, Natural Flavouring, Colour: E60C.]
Garden Peas;;;Garden Peas [Peas]
Garden peas and sweetcorn;;;Garden Peas [Peas], Sweetcorn In Water Tin [Sweetcorn]
Garlic bread finger;Cereals containing Gluten, Soya, Wheat;Eggs, Milk;"Bread Mix Hovis Best Of Both [<strong>WHEAT</strong> Flour, (with added Calcium, Iron, Niacin, Thiamin), Wholemeal Flour (<strong>WHEAT</strong>), Dried Yeast, <strong>WHEAT</strong> Protein, WHEATGERM (2.0%), Dextrose, <strong>WHEAT</strong> Fibre, Vegetable Oils (Palm, Rapeseed), Salt, <strong>SOYA</strong> Flour, Calcium Carbonate, <strong>WHEAT</strong> Flour, Emulsifiers: E472e, E491; Flour Treatment Agents: E300, Alpha Amylase, Amyloglucosidase, Glucose Oxidase, Hemicellulase.], Water, garlic clove by clove, Mixed Herbs [Marjoram, Thyme, Parsley, Basil, Savory.]"
Grapes;;;Grapes Green
GRATED CARROT;;;Carrot - fine grated
Gravy;;;Water, Bisto Gluten Free Gravy [Maltodextrin, Potato Starch, Salt, Flavourings, Colour (Plain Caramel), Vegetable Oils (Palm, Rapeseed, Sunflower), Sugar, Stabliser (Guar Gum), Onion Powder, Yeast Extract.]
Green beans;;;Green Beans [Green Beans]
Ice cream;Milk;;Ice Cream new [Partially Reconstituted Buttermilk, Butter (MILK) (10%), Sugar, Dextrose, Emulsifier: Mono & Diglycerides of Fatty Acids, Stabilisers [Locust Bean Gum, Guar Gum], Flavourings, Colours [Annatto, Curcumin]. OR ALTERNATIVE RECIPE Partially Reconstituted Buttermilk, Double Cream (MILK) (17%), Sugar, Dextrose, Emulsifier: Mono & Diglycerides of Fatty Acids, Stabilisers [Locust Bean Gum, Guar Gum], Flavourings, Colours [Annatto, Curcumin]]
Kara High Fibre Childrens Bun;Cereals containing Gluten, Wheat;Sesame;"Kara High Fibre Childrens Bun [<strong>WHEAT</strong> Flour (<strong>WHEAT</strong> Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, <strong>WHEAT</strong> Fibre, Sugar, Salt, Yeast, Rapeseed Oil, Emulsifiers: E472e, E471; <strong>WHEAT</strong> GLUTEN, Flour Treatment Agents: E300, E920.]"
Mashed potato;;;Glentham Farm Potatoes Peeled
Melon;;;watermelon [Melon - Water]
Nacho Bite;;;"Nacho Bite [Haricot Beans (17%), Cornflakes (14%), Sweet Potato, Sweetcorn, Onions, Red Pepper, Water,Rapeseed Oil, Tomato Paste, Potato Flakes, Maize Flour, Maize Starch, Onion Powder, GarlicPuree, Potato Starch, Smoked Paprika, Salt, Dried Rice Syrup, Raising Agents: DisodiumDiphosphates and Sodium Bicarbonate; Chilli Powder, Rice Bran Extract, Ground Black Pepper,Stabiliser: Xanthan Gum.]"
New potatoes;;;New Potatoes
Orange;;;Oranges
Pork Sausages;Cereals containing Gluten, Soya, Sulphur Dioxide and Sulphites, Wheat;;Pork Sausages - Bidfood [Pork (62%), Water, Rusk [<strong>WHEAT</strong> Flour (Calcium Carbonate, Iron, Niacin, Thiamin), Salt(Anti-Caking Agent (E535)), Raising Agent (E503(ii))], Seasoning [Salt (Anti-Caking Agent (E535)), Sugar, Spices (Black Pepper, White Pepper, Nutmeg, Mace) Yeast Extract, Dehydrated Onion, Preservative (E223) [<strong>SULPHITE</strong>]), Emulsifier (E450), Dextrose, Rice Flour, Antioxidant (E300), Marjoram, Natural Onion Flavouring], Pea Protein, Dextrose, <strong>SOYA</strong> Protein, Mixed Herbs (Parsley, Basil, Thyme, Marjoram, Oregano) Porcine Collagen Casing.]
Potato wedges;;;Baked Potatoes 60
Rice white and brown;;;Tilda Brown N White Rice [Easy Cook Wholegrain and Easy Cook Long Grain Rice]
Roast beef;;;Farm Assured Sliced Beef 80% [Beef 80%, Water, Pea Protein. Salt, Satbilisers, (E451, E450)]
Roast potatoes;;;Glentham Farm Potatoes Peeled
Salmon Fish Cake;Fish;;Salmon Fishcake [Skinless and boneless MSC Hoki and MSC / ASC salmon blended with sweet potato, peas and onions and coated in a gluten free batter and bubble crumb.]
Sausage roll;Cereals containing Gluten, Eggs, Wheat;;Sausage Roll 4inch Phat Naked [British Pork (27%), Fortified <strong>WHEAT</strong> Flour (<strong>WHEAT</strong> Flour, Calcium Carbonate, Iron, Niacin, Thiamine), Water, Vegetable Fat (Palm Oil, Water, Rapeseed Oil, Salt, Lemon Juice), Rusk (Flour (<strong>WHEAT</strong> Flour (Calcium Carbonate, Iron, Niacin, Thiamine), Salt), Seasoning (Rusk (<strong>WHEAT</strong> Flour, Salt), Salt, Spices (White Pepper, Nutmeg), WHEATStarch, Yeast Extract, Sugar, Onion Powder, Thyme, Dextrose, Maltodextrin, Pepper), Salt, <strong>EGG</strong> Glaze (Water, <strong>EGG</strong> Powder, Dextrose).]
Sliced pork;;;Pork Loin [Pork Loin (80%), Salt, Dextrose, Stabilisers (E450, E451, E407).]
Strawberry Angel Delight;Milk;;Water, Angel Delight Strawberry [Sugar, Skimmed MILK Powder, Modified Starch, Maltodextrin, Palm Oil, Gelling Agents (Diphosphates, Sodium Phosphates), Emulsifiers (Propylene Glycol Esters of Fatty Acids, Lecithins), Lactose (MILK), MILK Proteins, Calcium Carbonate, Whey Powder (MILK), Anti-caking Agent (Silicon Dioxide), Colours (Beetroot Red, Carotenes), Flavouring..]
Stuffing;Cereals containing Gluten, Wheat;;Water, Sage Onion Stuffing Mix [Rusk (Fortified <strong>WHEAT</strong> Flour (<strong>WHEAT</strong> Flour, Calcium Carbonate, Iron, Niacin and Thiamin), Salt), Breadcrumbs (Fortified <strong>WHEAT</strong> Flour (<strong>WHEAT</strong> Flour, Calcium Carbonate, Iron, Niacin and Thiamin), Salt), Vegetable Suet (Vegetable Oils (Palm Oil, Sunflower Oil), Fortified <strong>WHEAT</strong> Flour (<strong>WHEAT</strong> Flour, Calcium Carbonate, Iron, Niacin and Thiamin)), Dried Onion, Sage, Parsley, Salt, Flavouring.]
Sweet Potato;;;Sweet Potato
Sweetcorn;;;Sweetcorn In Water Tin [Sweetcorn]
Sweetcorn and Green Beans;;;Green Beans [Green Beans], Sweetcorn In Water Tin [Sweetcorn]
Tomato ketchup;Celery;;Heinz Tomato Ketchup [Tomatoes (148g per 100g tomato ketchup), vinegar, sugar, salt, spice and herb extracts (contain <strong>CELERY</strong>), spice.]
Vegetable Goujons;;;"Vegetable Goujons Gluten Free [Water, Dried Potato, Sweetcorn (8%), Peas (8%), Carrots (8%), Potatoes (8%), Spring Onions, Sunflower Oil, Rice Flour, Maize Flour, Gram Flour, Maize Starch, Potato Starch, Onion Powder, Salt, Raising Agents: Disodium Diphosphates and Sodium Bicarbonate; Dextrose, Stabiliser: Xanthan Gum; Black Pepper.]"
Vegetarian sausages;Soya;;Vegetarian Sausage [Water, <strong>SOYA</strong> protein concentrate, <strong>SOYA</strong> protein isolate, rapeseed oil, palm oil, seasoning [ natural flavouring, dextrose, pea flour, vegetable bouillon, sugar, spices (black pepper, nutmeg, ginger), salt, carrageenan, herbs (parsley, sage, thyme), coriander extract ], stabiliser (methyl cellulose)]
Yogurt;Milk, Soya;;EasiYo Vanilla Yogurt [MILK Solids (87%), (Emulsifier (SOY Lecithins)), Sugar, Natural Flavourings, Live Yogurt Cultures (L.bulgaricus, S.thermophilus, L.acidophilus, L.rhamnosus, B.longum), Natural Colour (Carotenes), Sweetener (Steviol Glycosides)..], 
Yorkshire pudding;Cereals containing Gluten, Eggs, Milk, Wheat;;Yorkshire Pudding Aunt Bessie  [Fortified WHEAT Flour (WHEAT Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Whole EGG>, EGG White, Water, Rapeseed Oil, Skimmed MILK Powder, Salt]
Yoghurt Toppings;;;EasiYo Mixed fruit Toppings [Strawberry - Water, Strawberries (29%), Glucose Syrup, Sugar, Modified Maize Starch, Natural colours (Anthocyanins, Beta-carotene), Acidity Regulators (Citric Acid, Ascorbic Acid), Natural Flavouring, Preservative (Potassium Sorbate), Cherry Plum - Water, Glucose Syrup, Cherries (14%), Plum (10%), Modified Maize Starch, Apple Juice Concentrate, Natural Colour (Anthocyanins), Natural Flavouring, Acidity regulator (Citric Acid), Preservative (Potassium Sorbate), Vanilla Peach - Peach (42%), Glucose Syrup, Water, Sugar, Modified Maize Starch, Natural Flavouring, Acidity Regulators (Citric Acid, Ascorbic Acid), Preservative (Potassium Sorbate), Natural Colour (Beta-carotene), Pipless Passion Fruit - Water, Passionfruit (20%), Glucose Syrup, Sugar, Modified maize Starch, Acidity Regulators (Citric Acid, Ascorbic Acid), Natural Flavouring, Preservative (Potassium Sorbate), Natural Colour (Beta-carotene).]
Gluten Free Roll;Soya; Mustard, Sesame;"maize starch, water, sourdough 12% (rice flour, water), maize flour, rice flour, vegetable fibre (psyllium), thickener: hydroxypropyl methyl cellulose; SOYA protein, sunflower oil, yeast, extra virgin olive oil (0,9%), salt, acids: citric acid, tartaric acid."
Pork Meatballs;Legume;;Pork, Water, Pea Flakes, Sugar, Maltodextrin, Cornflour, Salt, Tomato Powder, Maize Starch, Yeast Extract, Acidity Regulator (Sodium Diacetate), Dried Rubbed Basil, Dried Oregano, Citric Acid, Paprika Extract (Rapeseed & Sunflower Oil), Ground Black Pepper, Thickener (Guar Gum), Colour (Caramel Powder), Anti Caking Agent (Silicone Dioxide), Flavouring, Colour (Carmine)
Batcherlors Curry Suace; Celery; Sulphite, Soya, Milk, Egg, Mustard;Water, Tomatoes (21%), Apple (9%), Onion (8%), WHEAT Flour (with added Calcium, Iron, Niacin, Thiamin), Sugar, Raisins (2%), Salt, Herbs & Spices (1%) (contain CELERY), Vegetable Oils (Sunflower, Palm), Ground Coriander, Seeds, Yeast Extract (contains BARLEY), Garlic, Ground Black Pepper, Dextrose, Flavour Enhancers (Monosodium Glutamate, Disodium 5'ribonucleotides), Acid (Citric Acid), Acidity Regulator (Trisodium Citrate), Flavouring, Colour (Ammonia Caramel), Chilli.
